word,count,percentage
футболу,26270,11.28
мира,16050,6.89
чемпионат,11571,4.97
россия,9419,4.04
футбол,7950,3.41
саудовская,7121,3.06
аравия,7118,3.06
расписание,5549,2.38
чемпионата,4008,1.72
португалия,3924,1.68
испания,3890,1.67
матчей,3590,1.54
матч,3168,1.36
россии,2982,1.28
египет,2475,1.06
таблица,2325,1.0
уругвай,2231,0.96
открытие,1857,0.8
смотреть,1814,0.78
сборная,1790,0.77
турнирная,1764,0.76
трансляция,1588,0.68
состав,1453,0.62
онлайн,1413,0.61
сегодня,1399,0.6
сборной,1321,0.57
сколько,1242,0.53
матчи,1133,0.49
время,1112,0.48
билеты,923,0.4
прогноз,909,0.39
футболист,907,0.39
матча,883,0.38
футбола,872,0.37
франция,850,0.36
аргентина,836,0.36
купить,827,0.36
иран,812,0.35
марокко,809,0.35
австралия,781,0.34
германия,770,0.33
исландия,760,0.33
москве,759,0.33
игры,742,0.32
играет,735,0.32
дата,732,0.31
прямая,710,0.3
результаты,678,0.29
будет,675,0.29
открытия,659,0.28
когда,654,0.28
нигерия,631,0.27
хорватия,630,0.27
счет,600,0.26
голы,597,0.26
песня,590,0.25
мексика,585,0.25
видео,582,0.25
бразилия,570,0.24
коста,489,0.21
футбольный,469,0.2
рика,468,0.2
сербия,450,0.19
билет,441,0.19
футболе,431,0.19
обзор,425,0.18
какие,421,0.18
перу,411,0.18
дания,401,0.17
швейцария,398,0.17
чемпионате,397,0.17
эфир,395,0.17
прямой,395,0.17
слепаков,391,0.17
екатеринбурге,382,0.16
игра,378,0.16
группы,373,0.16
официальный,372,0.16
сайт,369,0.16
футбольных,356,0.15
календарь,353,0.15
проведения,350,0.15
городам,348,0.15
футболистов,343,0.15
даты,338,0.15
fifa,326,0.14
фифа,324,0.14
список,321,0.14
церемония,294,0.13
футболка,282,0.12
начало,274,0.12
2014,269,0.12
санкт,269,0.12
года,267,0.11
какой,266,0.11
самаре,258,0.11
nbsp,255,0.11
футбольные,253,0.11
саудовской,251,0.11
нижнем,243,0.1
